config,scenario,n_particles,path_length,L_coll,iterations,cpu_time_sec,converged
basic,scenario2,10,2166.2775,118.9425,500,0.6244,False
restart,scenario2,10,2206.3671,0.0,500,0.5597,True
sa,scenario2,10,2221.2033,118.9425,500,0.5582,False
dl,scenario2,10,1629.3972,0.0,500,2.1581,True
all,scenario2,10,1516.4208,0.0,500,0.5947,True
